"date","category_grouped","outbreak_subgroup","TOTAL_CASES"
"2020-03-31","1 Congregate Care","RETIREMENT HOME",10
"2020-03-31","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-03-31","4 Workplace","WORKPLACE - FARM",1
"2020-04-01","1 Congregate Care","HOSPITAL",13
"2020-04-01","1 Congregate Care","LONG-TERM CARE HOME",66
"2020-04-01","1 Congregate Care","RETIREMENT HOME",22
"2020-04-01","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-04-01","4 Workplace","WORKPLACE - OTHER",1
"2020-04-02","1 Congregate Care","HOSPITAL",15
"2020-04-02","1 Congregate Care","LONG-TERM CARE HOME",64
"2020-04-02","1 Congregate Care","RETIREMENT HOME",30
"2020-04-02","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-04-02","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-04-02","4 Workplace","WORKPLACE - OTHER",1
"2020-04-02","6 Other/Unknown","UNKNOWN",1
"2020-04-03","1 Congregate Care","HOSPITAL",11
"2020-04-03","1 Congregate Care","LONG-TERM CARE HOME",145
"2020-04-03","1 Congregate Care","RETIREMENT HOME",21
"2020-04-03","2 Congregate Living","CORRECTIONAL FACILITY",1
"2020-04-03","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-04-03","2 Congregate Living","SHELTER",2
"2020-04-03","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2020-04-03","4 Workplace","WORKPLACE - OTHER",1
"2020-04-03","5 Recreational","OTHER RECREATION",1
"2020-04-03","6 Other/Unknown","UNKNOWN",1
"2020-04-04","1 Congregate Care","HOSPITAL",16
"2020-04-04","1 Congregate Care","LONG-TERM CARE HOME",90
"2020-04-04","1 Congregate Care","RETIREMENT HOME",26
"2020-04-04","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-04-04","4 Workplace","WORKPLACE - OTHER",1
"2020-04-04","5 Recreational","OTHER RECREATION",1
"2020-04-04","6 Other/Unknown","UNKNOWN",1
"2020-04-05","1 Congregate Care","HOSPITAL",7
"2020-04-05","1 Congregate Care","LONG-TERM CARE HOME",75
"2020-04-05","1 Congregate Care","RETIREMENT HOME",29
"2020-04-05","2 Congregate Living","CONGREGATE OTHER",1
"2020-04-05","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",1
"2020-04-05","2 Congregate Living","SHELTER",3
"2020-04-05","4 Workplace","WORKPLACE - OTHER",1
"2020-04-05","5 Recreational","OTHER RECREATION",1
"2020-04-05","6 Other/Unknown","UNKNOWN",5
"2020-04-06","1 Congregate Care","HOSPITAL",10
"2020-04-06","1 Congregate Care","LONG-TERM CARE HOME",158
"2020-04-06","1 Congregate Care","RETIREMENT HOME",37
"2020-04-06","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-04-06","2 Congregate Living","SHELTER",1
"2020-04-06","4 Workplace","WORKPLACE - OTHER",1
"2020-04-06","5 Recreational","OTHER RECREATION",2
"2020-04-06","6 Other/Unknown","UNKNOWN",6
"2020-04-07","1 Congregate Care","HOSPITAL",7
"2020-04-07","1 Congregate Care","LONG-TERM CARE HOME",173
"2020-04-07","1 Congregate Care","RETIREMENT HOME",38
"2020-04-07","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",5
"2020-04-07","2 Congregate Living","SHELTER",3
"2020-04-07","4 Workplace","WORKPLACE - OTHER",1
"2020-04-07","5 Recreational","OTHER RECREATION",1
"2020-04-07","6 Other/Unknown","UNKNOWN",2
"2020-04-08","1 Congregate Care","HOSPITAL",15
"2020-04-08","1 Congregate Care","LONG-TERM CARE HOME",169
"2020-04-08","1 Congregate Care","RETIREMENT HOME",39
"2020-04-08","2 Congregate Living","CONGREGATE OTHER",2
"2020-04-08","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",6
"2020-04-08","2 Congregate Living","SHELTER",8
"2020-04-08","4 Workplace","WORKPLACE - OTHER",1
"2020-04-08","5 Recreational","OTHER RECREATION",2
"2020-04-08","6 Other/Unknown","UNKNOWN",5
"2020-04-09","1 Congregate Care","HOSPITAL",11
"2020-04-09","1 Congregate Care","LONG-TERM CARE HOME",154
"2020-04-09","1 Congregate Care","RETIREMENT HOME",31
"2020-04-09","2 Congregate Living","CONGREGATE OTHER",2
"2020-04-09","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",17
"2020-04-09","2 Congregate Living","SHELTER",4
"2020-04-09","4 Workplace","WORKPLACE - OTHER",1
"2020-04-09","5 Recreational","OTHER RECREATION",4
"2020-04-09","6 Other/Unknown","UNKNOWN",3
"2020-04-10","1 Congregate Care","HOSPITAL",13
"2020-04-10","1 Congregate Care","LONG-TERM CARE HOME",134
"2020-04-10","1 Congregate Care","RETIREMENT HOME",27
"2020-04-10","2 Congregate Living","CONGREGATE OTHER",3
"2020-04-10","2 Congregate Living","CORRECTIONAL FACILITY",1
"2020-04-10","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",6
"2020-04-10","2 Congregate Living","SHELTER",9
"2020-04-10","4 Workplace","WORKPLACE - FARM",1
"2020-04-10","4 Workplace","WORKPLACE - OTHER",1
"2020-04-10","6 Other/Unknown","UNKNOWN",7
"2020-04-11","1 Congregate Care","HOSPITAL",14
"2020-04-11","1 Congregate Care","LONG-TERM CARE HOME",165
"2020-04-11","1 Congregate Care","RETIREMENT HOME",37
"2020-04-11","2 Congregate Living","CONGREGATE OTHER",2
"2020-04-11","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",11
"2020-04-11","2 Congregate Living","SHELTER",10
"2020-04-11","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-04-11","6 Other/Unknown","UNKNOWN",3
"2020-04-12","1 Congregate Care","HOSPITAL",12
"2020-04-12","1 Congregate Care","LONG-TERM CARE HOME",223
"2020-04-12","1 Congregate Care","RETIREMENT HOME",76
"2020-04-12","2 Congregate Living","CONGREGATE OTHER",3
"2020-04-12","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",36
"2020-04-12","2 Congregate Living","SHELTER",8
"2020-04-12","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",3
"2020-04-12","4 Workplace","WORKPLACE - OTHER",5
"2020-04-12","6 Other/Unknown","UNKNOWN",1
"2020-04-13","1 Congregate Care","HOSPITAL",28
"2020-04-13","1 Congregate Care","LONG-TERM CARE HOME",258
"2020-04-13","1 Congregate Care","RETIREMENT HOME",43
"2020-04-13","2 Congregate Living","CONGREGATE OTHER",1
"2020-04-13","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",37
"2020-04-13","2 Congregate Living","SHELTER",14
"2020-04-13","2 Congregate Living","SHORT-TERM ACCOMMODATIONS",1
"2020-04-13","5 Recreational","OTHER RECREATION",4
"2020-04-13","6 Other/Unknown","UNKNOWN",1
"2020-04-14","1 Congregate Care","HOSPITAL",27
"2020-04-14","1 Congregate Care","LONG-TERM CARE HOME",296
"2020-04-14","1 Congregate Care","RETIREMENT HOME",45
"2020-04-14","2 Congregate Living","CONGREGATE OTHER",2
"2020-04-14","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",17
"2020-04-14","2 Congregate Living","SHELTER",5
"2020-04-14","4 Workplace","WORKPLACE - OTHER",1
"2020-04-14","6 Other/Unknown","UNKNOWN",2
"2020-04-15","1 Congregate Care","HOSPITAL",27
"2020-04-15","1 Congregate Care","LONG-TERM CARE HOME",299
"2020-04-15","1 Congregate Care","RETIREMENT HOME",92
"2020-04-15","2 Congregate Living","CONGREGATE OTHER",4
"2020-04-15","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",14
"2020-04-15","2 Congregate Living","SHELTER",7
"2020-04-15","4 Workplace","WORKPLACE - FARM",1
"2020-04-15","4 Workplace","WORKPLACE - OTHER",2
"2020-04-15","5 Recreational","OTHER RECREATION",2
"2020-04-15","6 Other/Unknown","UNKNOWN",1
"2020-04-16","1 Congregate Care","HOSPITAL",22
"2020-04-16","1 Congregate Care","LONG-TERM CARE HOME",284
"2020-04-16","1 Congregate Care","RETIREMENT HOME",57
"2020-04-16","2 Congregate Living","CONGREGATE OTHER",3
"2020-04-16","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",12
"2020-04-16","2 Congregate Living","SHELTER",8
"2020-04-16","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-04-16","4 Workplace","WORKPLACE - OTHER",4
"2020-04-16","5 Recreational","OTHER RECREATION",1
"2020-04-16","6 Other/Unknown","UNKNOWN",1
"2020-04-17","1 Congregate Care","HOSPITAL",26
"2020-04-17","1 Congregate Care","LONG-TERM CARE HOME",414
"2020-04-17","1 Congregate Care","RETIREMENT HOME",39
"2020-04-17","2 Congregate Living","CONGREGATE OTHER",1
"2020-04-17","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",16
"2020-04-17","2 Congregate Living","SHELTER",28
"2020-04-17","4 Workplace","WORKPLACE - FARM",1
"2020-04-17","4 Workplace","WORKPLACE - OTHER",5
"2020-04-17","5 Recreational","OTHER RECREATION",3
"2020-04-18","1 Congregate Care","HOSPITAL",24
"2020-04-18","1 Congregate Care","LONG-TERM CARE HOME",322
"2020-04-18","1 Congregate Care","RETIREMENT HOME",28
"2020-04-18","2 Congregate Living","CONGREGATE OTHER",1
"2020-04-18","2 Congregate Living","CORRECTIONAL FACILITY",5
"2020-04-18","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",13
"2020-04-18","2 Congregate Living","SHELTER",10
"2020-04-18","4 Workplace","WORKPLACE - OTHER",1
"2020-04-18","6 Other/Unknown","UNKNOWN",1
"2020-04-19","1 Congregate Care","HOSPITAL",13
"2020-04-19","1 Congregate Care","LONG-TERM CARE HOME",247
"2020-04-19","1 Congregate Care","RETIREMENT HOME",45
"2020-04-19","2 Congregate Living","CONGREGATE OTHER",4
"2020-04-19","2 Congregate Living","CORRECTIONAL FACILITY",33
"2020-04-19","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",16
"2020-04-19","2 Congregate Living","SHELTER",17
"2020-04-19","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-04-19","4 Workplace","WORKPLACE - OTHER",2
"2020-04-20","1 Congregate Care","HOSPITAL",28
"2020-04-20","1 Congregate Care","LONG-TERM CARE HOME",196
"2020-04-20","1 Congregate Care","RETIREMENT HOME",38
"2020-04-20","2 Congregate Living","CONGREGATE OTHER",2
"2020-04-20","2 Congregate Living","CORRECTIONAL FACILITY",23
"2020-04-20","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",15
"2020-04-20","2 Congregate Living","SHELTER",72
"2020-04-20","4 Workplace","MEDICAL/HEALTH SERVICE",8
"2020-04-20","4 Workplace","WORKPLACE - FARM",1
"2020-04-20","4 Workplace","WORKPLACE - FOOD PROCESSING",3
"2020-04-20","4 Workplace","WORKPLACE - OTHER",1
"2020-04-21","1 Congregate Care","HOSPITAL",16
"2020-04-21","1 Congregate Care","LONG-TERM CARE HOME",240
"2020-04-21","1 Congregate Care","RETIREMENT HOME",21
"2020-04-21","2 Congregate Living","CONGREGATE OTHER",4
"2020-04-21","2 Congregate Living","CORRECTIONAL FACILITY",23
"2020-04-21","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",8
"2020-04-21","2 Congregate Living","SHELTER",25
"2020-04-21","4 Workplace","MEDICAL/HEALTH SERVICE",3
"2020-04-21","4 Workplace","WORKPLACE - FARM",5
"2020-04-21","4 Workplace","WORKPLACE - FOOD PROCESSING",5
"2020-04-21","4 Workplace","WORKPLACE - OTHER",2
"2020-04-22","1 Congregate Care","HOSPITAL",15
"2020-04-22","1 Congregate Care","LONG-TERM CARE HOME",223
"2020-04-22","1 Congregate Care","RETIREMENT HOME",40
"2020-04-22","2 Congregate Living","CORRECTIONAL FACILITY",10
"2020-04-22","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",13
"2020-04-22","2 Congregate Living","SHELTER",28
"2020-04-22","4 Workplace","MEDICAL/HEALTH SERVICE",4
"2020-04-22","4 Workplace","WORKPLACE - FARM",1
"2020-04-22","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-04-22","4 Workplace","WORKPLACE - OTHER",4
"2020-04-22","5 Recreational","OTHER RECREATION",1
"2020-04-23","1 Congregate Care","HOSPITAL",21
"2020-04-23","1 Congregate Care","LONG-TERM CARE HOME",218
"2020-04-23","1 Congregate Care","RETIREMENT HOME",31
"2020-04-23","2 Congregate Living","CORRECTIONAL FACILITY",6
"2020-04-23","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",13
"2020-04-23","2 Congregate Living","SHELTER",15
"2020-04-23","4 Workplace","WORKPLACE - FARM",2
"2020-04-23","4 Workplace","WORKPLACE - FOOD PROCESSING",1
"2020-04-23","4 Workplace","WORKPLACE - OTHER",2
"2020-04-24","1 Congregate Care","HOSPITAL",18
"2020-04-24","1 Congregate Care","LONG-TERM CARE HOME",145
"2020-04-24","1 Congregate Care","RETIREMENT HOME",20
"2020-04-24","2 Congregate Living","CORRECTIONAL FACILITY",3
"2020-04-24","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2020-04-24","2 Congregate Living","SHELTER",12
"2020-04-24","4 Workplace","MEDICAL/HEALTH SERVICE",2
"2020-04-24","4 Workplace","WORKPLACE - FARM",1
"2020-04-24","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-04-25","1 Congregate Care","HOSPITAL",7
"2020-04-25","1 Congregate Care","LONG-TERM CARE HOME",190
"2020-04-25","1 Congregate Care","RETIREMENT HOME",21
"2020-04-25","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",6
"2020-04-25","2 Congregate Living","SHELTER",5
"2020-04-25","4 Workplace","RETAIL",1
"2020-04-25","4 Workplace","WORKPLACE - FARM",3
"2020-04-25","4 Workplace","WORKPLACE - FOOD PROCESSING",9
"2020-04-25","4 Workplace","WORKPLACE - OTHER",5
"2020-04-25","6 Other/Unknown","UNKNOWN",1
"2020-04-26","1 Congregate Care","HOSPITAL",17
"2020-04-26","1 Congregate Care","LONG-TERM CARE HOME",157
"2020-04-26","1 Congregate Care","RETIREMENT HOME",13
"2020-04-26","2 Congregate Living","CONGREGATE OTHER",1
"2020-04-26","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-04-26","4 Workplace","WORKPLACE - FARM",12
"2020-04-26","4 Workplace","WORKPLACE - FOOD PROCESSING",7
"2020-04-26","4 Workplace","WORKPLACE - OTHER",5
"2020-04-27","1 Congregate Care","HOSPITAL",14
"2020-04-27","1 Congregate Care","LONG-TERM CARE HOME",193
"2020-04-27","1 Congregate Care","RETIREMENT HOME",20
"2020-04-27","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",6
"2020-04-27","2 Congregate Living","SHELTER",9
"2020-04-27","3 Education","CHILD CARE",2
"2020-04-27","4 Workplace","MEDICAL/HEALTH SERVICE",1
"2020-04-27","4 Workplace","WORKPLACE - FARM",20
"2020-04-27","4 Workplace","WORKPLACE - FOOD PROCESSING",6
"2020-04-28","1 Congregate Care","HOSPITAL",33
"2020-04-28","1 Congregate Care","LONG-TERM CARE HOME",128
"2020-04-28","1 Congregate Care","RETIREMENT HOME",15
"2020-04-28","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",5
"2020-04-28","2 Congregate Living","SHELTER",6
"2020-04-28","3 Education","CHILD CARE",1
"2020-04-28","4 Workplace","WORKPLACE - FARM",6
"2020-04-28","4 Workplace","WORKPLACE - FOOD PROCESSING",11
"2020-04-28","4 Workplace","WORKPLACE - OTHER",2
"2020-04-29","1 Congregate Care","HOSPITAL",18
"2020-04-29","1 Congregate Care","LONG-TERM CARE HOME",146
"2020-04-29","1 Congregate Care","RETIREMENT HOME",14
"2020-04-29","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",4
"2020-04-29","2 Congregate Living","SHELTER",4
"2020-04-29","3 Education","CHILD CARE",1
"2020-04-29","4 Workplace","RETAIL",1
"2020-04-29","4 Workplace","WORKPLACE - FARM",2
"2020-04-29","4 Workplace","WORKPLACE - FOOD PROCESSING",13
"2020-04-30","1 Congregate Care","HOSPITAL",15
"2020-04-30","1 Congregate Care","LONG-TERM CARE HOME",191
"2020-04-30","1 Congregate Care","RETIREMENT HOME",15
"2020-04-30","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",16
"2020-04-30","2 Congregate Living","SHELTER",4
"2020-04-30","3 Education","CHILD CARE",2
"2020-04-30","4 Workplace","RETAIL",1
"2020-04-30","4 Workplace","WORKPLACE - FOOD PROCESSING",10
"2020-04-30","4 Workplace","WORKPLACE - OTHER",1
"2020-05-01","1 Congregate Care","HOSPITAL",26
"2020-05-01","1 Congregate Care","LONG-TERM CARE HOME",146
"2020-05-01","1 Congregate Care","RETIREMENT HOME",23
"2020-05-01","2 Congregate Living","CORRECTIONAL FACILITY",1
"2020-05-01","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",16
"2020-05-01","2 Congregate Living","SHELTER",2
"2020-05-01","3 Education","CHILD CARE",5
"2020-05-01","4 Workplace","WORKPLACE - FOOD PROCESSING",18
"2020-05-02","1 Congregate Care","HOSPITAL",20
"2020-05-02","1 Congregate Care","LONG-TERM CARE HOME",88
"2020-05-02","1 Congregate Care","RETIREMENT HOME",23
"2020-05-02","2 Congregate Living","CONGREGATE OTHER",3
"2020-05-02","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",14
"2020-05-02","2 Congregate Living","SHELTER",5
"2020-05-02","3 Education","CHILD CARE",3
"2020-05-02","4 Workplace","WORKPLACE - FARM",3
"2020-05-02","4 Workplace","WORKPLACE - FOOD PROCESSING",11
"2020-05-02","4 Workplace","WORKPLACE - OTHER",1
"2020-05-02","5 Recreational","OTHER RECREATION",1
"2020-05-03","1 Congregate Care","HOSPITAL",10
"2020-05-03","1 Congregate Care","LONG-TERM CARE HOME",101
"2020-05-03","1 Congregate Care","RETIREMENT HOME",22
"2020-05-03","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",11
"2020-05-03","2 Congregate Living","SHELTER",1
"2020-05-03","3 Education","CHILD CARE",3
"2020-05-03","4 Workplace","RETAIL",1
"2020-05-03","4 Workplace","WORKPLACE - FARM",1
"2020-05-03","4 Workplace","WORKPLACE - FOOD PROCESSING",16
"2020-05-03","4 Workplace","WORKPLACE - OTHER",2
"2020-05-04","1 Congregate Care","HOSPITAL",23
"2020-05-04","1 Congregate Care","LONG-TERM CARE HOME",74
"2020-05-04","1 Congregate Care","RETIREMENT HOME",18
"2020-05-04","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",6
"2020-05-04","2 Congregate Living","SHELTER",1
"2020-05-04","3 Education","CHILD CARE",1
"2020-05-04","4 Workplace","WORKPLACE - FARM",4
"2020-05-04","4 Workplace","WORKPLACE - FOOD PROCESSING",17
"2020-05-04","4 Workplace","WORKPLACE - OTHER",2
"2020-05-05","1 Congregate Care","HOSPITAL",28
"2020-05-05","1 Congregate Care","LONG-TERM CARE HOME",85
"2020-05-05","1 Congregate Care","RETIREMENT HOME",11
"2020-05-05","2 Congregate Living","CONGREGATE OTHER",1
"2020-05-05","2 Congregate Living","CORRECTIONAL FACILITY",1
"2020-05-05","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",4
"2020-05-05","2 Congregate Living","SHELTER",6
"2020-05-05","3 Education","CHILD CARE",3
"2020-05-05","4 Workplace","WORKPLACE - FOOD PROCESSING",4
"2020-05-06","1 Congregate Care","HOSPITAL",10
"2020-05-06","1 Congregate Care","LONG-TERM CARE HOME",119
"2020-05-06","1 Congregate Care","RETIREMENT HOME",9
"2020-05-06","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-05-06","2 Congregate Living","SHELTER",6
"2020-05-06","3 Education","CHILD CARE",1
"2020-05-06","4 Workplace","WORKPLACE - FARM",1
"2020-05-06","4 Workplace","WORKPLACE - FOOD PROCESSING",11
"2020-05-06","4 Workplace","WORKPLACE - OTHER",5
"2020-05-07","1 Congregate Care","HOSPITAL",15
"2020-05-07","1 Congregate Care","LONG-TERM CARE HOME",81
"2020-05-07","1 Congregate Care","RETIREMENT HOME",24
"2020-05-07","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-05-07","2 Congregate Living","SHELTER",5
"2020-05-07","4 Workplace","RETAIL",1
"2020-05-07","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-05-07","4 Workplace","WORKPLACE - OTHER",3
"2020-05-08","1 Congregate Care","HOSPITAL",15
"2020-05-08","1 Congregate Care","LONG-TERM CARE HOME",61
"2020-05-08","1 Congregate Care","RETIREMENT HOME",10
"2020-05-08","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",8
"2020-05-08","2 Congregate Living","SHELTER",20
"2020-05-08","4 Workplace","RETAIL",1
"2020-05-08","4 Workplace","WORKPLACE - FOOD PROCESSING",9
"2020-05-08","4 Workplace","WORKPLACE - OTHER",5
"2020-05-09","1 Congregate Care","HOSPITAL",13
"2020-05-09","1 Congregate Care","LONG-TERM CARE HOME",88
"2020-05-09","1 Congregate Care","RETIREMENT HOME",9
"2020-05-09","2 Congregate Living","CORRECTIONAL FACILITY",2
"2020-05-09","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",10
"2020-05-09","2 Congregate Living","SHELTER",4
"2020-05-09","4 Workplace","WORKPLACE - FARM",8
"2020-05-09","4 Workplace","WORKPLACE - FOOD PROCESSING",9
"2020-05-09","4 Workplace","WORKPLACE - OTHER",2
"2020-05-10","1 Congregate Care","HOSPITAL",10
"2020-05-10","1 Congregate Care","LONG-TERM CARE HOME",120
"2020-05-10","1 Congregate Care","RETIREMENT HOME",10
"2020-05-10","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",3
"2020-05-10","2 Congregate Living","SHELTER",2
"2020-05-10","4 Workplace","WORKPLACE - FARM",7
"2020-05-10","4 Workplace","WORKPLACE - FOOD PROCESSING",2
"2020-05-10","4 Workplace","WORKPLACE - OTHER",2
"2020-05-11","1 Congregate Care","HOSPITAL",8
"2020-05-11","1 Congregate Care","LONG-TERM CARE HOME",67
"2020-05-11","1 Congregate Care","RETIREMENT HOME",11
"2020-05-11","2 Congregate Living","CORRECTIONAL FACILITY",1
"2020-05-11","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",2
"2020-05-11","2 Congregate Living","SHELTER",1
"2020-05-11","4 Workplace","RETAIL",1
"2020-05-11","4 Workplace","WORKPLACE - OTHER",1
"2020-05-11","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",1
"2020-05-12","1 Congregate Care","HOSPITAL",7
"2020-05-12","1 Congregate Care","LONG-TERM CARE HOME",76
"2020-05-12","1 Congregate Care","RETIREMENT HOME",10
"2020-05-12","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",9
"2020-05-12","2 Congregate Living","SHELTER",3
"2020-05-12","4 Workplace","WORKPLACE - FARM",3
"2020-05-12","4 Workplace","WORKPLACE - FOOD PROCESSING",6
"2020-05-12","5 Recreational","BAR/RESTAURANT/NIGHTCLUB",2
"2020-05-13","1 Congregate Care","HOSPITAL",8
"2020-05-13","1 Congregate Care","LONG-TERM CARE HOME",106
"2020-05-13","1 Congregate Care","RETIREMENT HOME",14
"2020-05-13","2 Congregate Living","CORRECTIONAL FACILITY",2
"2020-05-13","2 Congregate Living","GROUP HOME/SUPPORTIVE HOUSING",10
